Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
CATIA,Composites Manufacturing Engineer for Industrial Equipment,"Ensure producibility of industrial equipment parts made of composites materials at all stages of the engineering process.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-manufacturing-engineer-for-industrial-equipment/?role=true,Craftsman / Maker,"Composites Mfg (Industrial Equip)","Industrial Equipment",3
CATIA,Composites Manufacturing Engineer for Marine and Offshore,"Ensure producibility of hull mechanical parts made of composites materials at all stages of the engineering process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-manufacturing-engineer-for-marine-and-offshore/?role=true,Craftsman / Maker,"Composites Mfg (Marine & Offshore)","Marine & Offshore",3
CATIA,Composites Manufacturing Engineer for Transportation & Mobility,"Ensure producibility of vehicle mechanical parts made of composites materials at all stages of the engineering process.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/composites-manufacturing-engineer-for-transportation-and-mobility/?role=true,Craftsman / Maker,"Composites Mfg (Transport & Mobility)","Transportation & Mobility",3
BIOVIA,Computational Chemical Engineer (5 users),"Provides access to Virtual Activities (simulations) for chemical engineers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/computational-chemical-engineer-5-users/?role=true,Alchemist / Scholar,"Computational Chemistry","Generic",2
BIOVIA,Computational Chemist,"Model and simulate small molecule therapeutics in the 3DEXPERIENCE Cloud",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/computational-chemist/?role=true,Alchemist / Scholar,"Computational Chemistry","Life Sciences",3
CATIA,Computational Designer for Construction,"Enables designers and engineers to model complex shapes and patterns anywhere, any time on any device with no software to install",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/computational-designer-for-construction/?role=true,Designer / Artisan,"Parametric/Algorithmic (AEC)",Construction,2
BIOVIA,Computational Structural Biologist,"Model and simulate biotherapeutics in the 3DEXPERIENCE Cloud",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/computational-structural-biologist/?role=true,Alchemist / Scholar,"Biotherapeutics Modeling","Life Sciences",3
SIMULIA,Concept Structure Analyst,"Generate high-performance design concepts meeting structural requirements based on advanced linear and nonlinear simulation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/concept-structure-analyst/?role=true,Engineer / Analyst,"Conceptual Structural Simulation","Generic",3
CATIA,Concept Structure Engineer,"Create agile and robust Conceptual Structure, from shapes to fastening. Explore it thanks to a one click simulation model and find the best design alternative.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/concept-structure-engineer/?role=true,Designer / Artisan,"Conceptual Structural Design","Generic",3
ENOVIA,Configuration Engineer,"Optimize reuse while satisfying all possible variants of the product offer",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/configuration-engineer/?role=true,Librarian / Scribe,"Configuration Management","Generic",2
ENOVIA,Connected Software Engineer,"Continuous software development supported through the governance of externally managed software in the context of a multi-discipline engineering definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/connected-software-engineer/?role=true,Librarian / Scribe,"Software Configuration Mgmt","Generic",3
DELMIA,Construction Planner,"4D Planning Experience: Construction BOM management and date-based upstream sequencing of construction operations while viewing the Build-Up in 3D.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/construction-planner/?role=true,Craftsman / Maker,"Construction Process Planning",Construction,2
CATIA,Consumer Products Composites Designer,"Cut design cycle times of home and lifestyle composites parts by designing in context of collaborative loops while accounting for manufacturing constraints.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/consumer-products-composites-designer/?role=true,Designer / Artisan,"Composites (Consumer Products)","Home & Lifestyle",3
CATIA,Consumer Products Composites Manufacturing Engineer,"Ensure producibility of home and lifestyle parts made of composites materials at all stages of the engineering process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/consumer-products-composites-manufacturing-engineer/?role=true,Craftsman / Maker,"Composites Mfg (Consumer)","Home & Lifestyle",3
ENOVIA,Content Replication,"Improve end user file download and upload times by providing local access to files without compromising security or ease of administration",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/content-replication/?role=true,Librarian / Scribe,"PDM Content Replication","Generic",2
NETVIBES,Continuous Improvement Analyst,"AI-driven detection of emerging problems to anticipate the investigation on systems’ reliability of Assets in operations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/continuous-improvement-analyst/?role=true,Strategist / Guild Master,"Continuous Improvement",Generic,2
ENOVIA,Conversion Data Integrator for ACIS,"Import ACIS models to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-acis/?role=true,Librarian / Scribe,"Data Conversion (ACIS)",Generic,2
ENOVIA,Conversion Data Integrator for AutoCAD,"Import native designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-autocad/?role=true,Librarian / Scribe,"Data Conversion (AutoCAD)",Generic,2
ENOVIA,Conversion Data Integrator for COLLADA,"Enable users to utilize COLLADA data including graphics, animation, kinematics, physics, and shade effect in the 3DEXPERIENCE® platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-collada/?role=true,Librarian / Scribe,"Data Conversion (COLLADA)",Generic,2
ENOVIA,Conversion Data Integrator for Creo Parametric and Pro/ENGINEER,"Import Creo Parametric and Pro/ENGINEER designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-creo-parametric-and-proengineer/?role=true,Librarian / Scribe,"Data Conversion (Creo)",Generic,2
ENOVIA,Conversion Data Integrator for FBX,"Utilize high fidelity FBX formatted data within the 3DEXPERIENCE® platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-fbx/?role=true,Librarian / Scribe,"Data Conversion (FBX)",Generic,2
ENOVIA,Conversion Data Integrator for ICEM Surf,N/A,https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-icem-surf/?role=true,Librarian / Scribe,"Data Conversion (ICEM Surf)",Generic,3
ENOVIA,Conversion Data Integrator for IFC,"Import IFC designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-ifc/?role=true,Librarian / Scribe,"Data Conversion (IFC)",Construction,2
ENOVIA,Conversion Data Integrator for Inventor,"Import Inventor designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-inventor/?role=true,Librarian / Scribe,"Data Conversion (Inventor)",Generic,2
ENOVIA,Conversion Data Integrator for JT,"Import JT models to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-jt/?role=true,Librarian / Scribe,"Data Conversion (JT)",Generic,2
ENOVIA,Conversion Data Integrator for LandXML,"Import conversion utility to import data from civil engineering designs and survey measurements for early assistance in road/railway design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-landxml/?role=true,Librarian / Scribe,"Data Conversion (LandXML)",Construction,3
ENOVIA,Conversion Data Integrator for MicroStation,"Import MicroStation designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-microstation/?role=true,Librarian / Scribe,"Data Conversion (MicroStation)",Generic,2
ENOVIA,Conversion Data Integrator for NX,"Import native designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-nx/?role=true,Librarian / Scribe,"Data Conversion (NX)",Generic,2
ENOVIA,Conversion Data Integrator for OBJ,"Import designs of OBJ format to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-obj/?role=true,Librarian / Scribe,"Data Conversion (OBJ)",Generic,2
GEOVIA,Conversion Data Integrator for OMF,"Convert Open Mining Format data to unlock the value of data-driven collaborative and innovative business processes.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-omf/?role=true,Urbanist / Cartographer,"Data Conversion (Mining)","Mining",2
ENOVIA,Conversion Data Integrator for Parasolid,"Import Parasolid designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-parasolid/?role=true,Librarian / Scribe,"Data Conversion (Parasolid)",Generic,2
ENOVIA,Conversion Data Integrator for Revit,"Import Revit designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-revit/?role=true,Librarian / Scribe,"Data Conversion (Revit)",Construction,2
ENOVIA,Conversion Data Integrator for Rhinoceros,"Import Rhinoceros designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-rhinoceros/?role=true,Librarian / Scribe,"Data Conversion (Rhino)",Generic,2
ENOVIA,Conversion Data Integrator for STEP Multidiscipline,"Import and export STEP files to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-step-multidiscipline/?role=true,Librarian / Scribe,"Data Conversion (STEP)",Generic,2
ENOVIA,Conversion Data Integrator for Solid Edge,"Import Solid Edge designs to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-solid-edge/?role=true,Librarian / Scribe,"Data Conversion (Solid Edge)",Generic,2
ENOVIA,Conversion Data Integrator for XMpLant,"Import XMplant files to support digital continuity across company boundaries including partners and suppliers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/conversion-data-integrator-for-xmplant/?role=true,Librarian / Scribe,"Data Conversion (XMpLant)",Generic,2
CATIA,Converters for Design and Styling,"The most frequently used data importers for design visualization on the 3DEXPERIENCE platform, bundled into a collection",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/converters-for-design-and-styling/?role=true,Designer / Artisan,"Design & Styling Converters",Generic,2
ENOVIA,Copy Author & Graphic Designer,"Accelerate time to market with collaborative copy authoring and final artwork assembly.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/copy-author-and-graphic-designer/?role=true,Librarian / Scribe,"Copy/Graphic Collaboration",Generic,2
NETVIBES,Cost Explorer,"Access to a 360° view of the cost metrics of products and processes to make informed decisions throughout their entire lifecycle.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cost-explorer/?role=true,Strategist / Guild Master,"Cost Analysis",Generic,2
ENOVIA,Cost Manager,"Ensure program profitability by managing cost evolutions across all program phases and anticipating cost drifts leveraging risks and opportunities.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cost-manager/?role=true,Strategist / Guild Master,"Cost Management",Generic,2
ENOVIA,Cost Specialist,"Manage end-to-end product cost estimates and assessments to support enterprise initiatives and improve business sustainability.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cost-specialist/?role=true,Strategist / Guild Master,"Cost Analysis & Estimation",Generic,3
CATIA,Creative Designer,"Imagine, explore and create conceptual ideas through a comprehensive set of applications addressing ideation, concept modeling and visualization",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/creative-designer/?role=true,Designer / Artisan,"Conceptual / Industrial Design",Generic,1
NETVIBES,Customer Voice Analyst,"Reveal the needs and pain points of end customers to improve products & services, deliver high-quality customer experience, and increase customer loyalty",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/customer-voice-analyst/?role=true,Strategist / Guild Master,"Customer Insights",Generic,2
ENOVIA,Customization and Specialization Administrator,"Reduce IT cost by providing simple administrative tools, not requiring IT skills, to tailor 3DEXPERIENCE platform.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/customization-and-specialization-administrator/?role=true,Librarian / Scribe,"Platform Customization",Generic,2
DELMIA,Cutting Tool Technologist,"Create virtual models of tools and other parts directly from manufacturers' website",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/cutting-tool-technologist/?role=true,Craftsman / Maker,"Tooling / Machining Setup",Generic,2
ENOVIA,DHF Manager for Medical Device,"Establish best practice design controls to manage product development activities, traceability, and documentation throughout product development",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/dhf-manager-for-medical-device/?role=true,Librarian / Scribe,"Medical Device Documentation","Medical Device",3
CATIA,Design Automation Engineer,"Increase design robustness and productivity, reduce errors and optimize geometry, by capturing company know-how and best practices in all design processes.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/design-automation-engineer/?role=true,Designer / Artisan,"Rules & Templates Automation",Generic,2
CATIA,Design Studio Engineer,"Design & Manage all technical areas of the model, collaborate with mock-up organization for technical reviews and facilitate link with Engineering teams.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/design-studio-engineer/?role=true,Designer / Artisan,"Studio/Styling Coordination",Generic,2
CATIA,Designer for Education,"An ideal solution for learning and teaching styling and industrial design, based on an end-to-end innovative 3D creative process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/designer-for-education/?role=true,Designer / Artisan,"Education (Styling & ID)",Education,1
BIOVIA,Development Scientist,"Optimize your Laboratories and Leverage Knowledge to Improve Time to Market",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/development-scientist/?role=true,Alchemist / Scholar,"Laboratory R&D",Generic,2
ENOVIA,Digital Mockup Review Engineer,"Resolve issues faster by enabling real time collaborative digital mockup reviews",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/digital-mockup-review-engineer/?role=true,Librarian / Scribe,"DMU (Review/Collaboration)",Generic,2
ENOVIA,Digital Mockup Review Manager,"Review and Validate product 3D mock-ups across the value network on any device",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/digital-mockup-review-manager/?role=true,Librarian / Scribe,"DMU (Review Management)",Generic,2
ENOVIA,Digital Mockup Validation Engineer,"Validate virtual prototypes & resolve issues faster by enabling formal management of the complete Digital Mockup review process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/digital-mockup-validation-engineer/?role=true,Librarian / Scribe,"DMU Validation",Generic,3
ENOVIA,Digital Mockup Validation Manager,"Validate virtual prototype & Resolve issues faster by enabling formal management of the complete Digital Mockup review process using web browser",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/digital-mockup-validation-manager/?role=true,Librarian / Scribe,"DMU Validation Management",Generic,3
N/A,Durability Performance Engineer,"Assess the structural performance and durability of products during the design process and intuitively guide design decisions",https://my.3dexperience.3ds.com/welcome/compass-world/3dexperience-works/simulation/structure/durability-performance-engineer,Engineer / Analyst,"Structural Durability",Generic,2
SIMULIA,Durability Performance Engineer,"Assess the structural performance and durability of products during the design process and intuitively guide design decisions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/durability-performance-engineer/?role=true,Engineer / Analyst,"Structural Durability",Generic,2
N/A,Durability and Mechanics Engineer,"Enables comprehensive structural simulations covering statics, implicit and explicit dynamics and fatigue to assess structural integrity of any type of product",https://my.3dexperience.3ds.com/welcome/compass-world/3dexperience-works/simulation/structure/durability-and-mechanics-engineer,Engineer / Analyst,"Structural Simulation (Durability)",Generic,3
SIMULIA,Durability and Mechanics Engineer,"Enables comprehensive structural simulations covering statics, implicit and explicit dynamics and fatigue to assess structural integrity of any type of product",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/durability-and-mechanics-engineer/?role=true,Engineer / Analyst,"Structural Simulation (Durability)",Generic,3
CATIA,Dynamic Systems Engineer,"Rapidly model, simulate and validate complex engineering systems using Modelica language, fully immersed in a Model Based System Engineering approach",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/dynamic-systems-engineer/?role=true,Engineer / Analyst,"Systems Simulation (Modelica)",Generic,3
GEOVIA,Earth Engineering Coordinator,"Consolidate and federate geoscience and engineering information for seamless downstream consumption",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/earth-engineering-coordinator/?role=true,Urbanist / Cartographer,"Geoscience & Mining","Mining",3
CATIA,Eco-Design Engineer,"Perform efficient Lifecycle Assessment studies and elect best design alternatives, respecting assigned goals to deliver performant innovative products",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/eco-design-engineer/?role=true,Designer / Artisan,"Lifecycle & Eco Design",Generic,2
CATIA,Electrical 3D & Manufacturing Engineer,"Optimize the physical design of wire harnesses and cable systems in context of the complete product and prepare quickly high quality manufacturing documentation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-3d-and-manufacturing-engineer/?role=true,Designer / Artisan,"Electrical Harness & Mfg",Generic,3
CATIA,Electrical 3D Systems Designer,"An integrated 3D electrical development environment which enables the physical design of wire harnesses and cabling in the context of the complete product",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-3d-systems-designer/?role=true,Designer / Artisan,"Electrical Harness (3D)",Generic,2
CATIA,Electrical Cabling 3D System Engineer,"An integrated 3D electrical development environment which enables the physical design of cabling and cable tray systems in context of the complete product",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-cabling-3d-system-engineer/?role=true,Designer / Artisan,"Cabling & Cable Trays",Generic,3
CATIA,Electrical Manufacturing Engineer,"Save costly development time by optimizing the quick preparation of high quality manufacturing documentation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-manufacturing-engineer/?role=true,Craftsman / Maker,"Electrical Mfg Documentation",Generic,2
CATIA,Electrical Schematic Designer,"Electrical Schematic Designer simplifies electrical system design with specific tools for engineers to accelerate electrical system and control panel design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-schematic-designer/?role=true,Designer / Artisan,"Electrical Schematics",Generic,2
CATIA,Electrical and Control Architect,"Ensure consistency of Electrical, Electronics & Software architectures data, on industrial vehicle systems, to prepare, by connecting the dots, detailed design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-and-control-architect/?role=true,Designer / Artisan,"Electrical/Control Architecture","Transportation & Mobility",3
CATIA,"Electrical, Electronics and Software Architect","Ensure consistency of Electrical, Electronics & Software architectures data, on complex vehicle systems, to prepare, by connecting the dots, detailed design.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electrical-electronics-and-software-architect/?role=true,Designer / Artisan,"E/E & Software Architecture","Transportation & Mobility",3
N/A,Electromagnetics Engineer,"Delivering high-performance 3D electromagnetic simulation for analyzing and optimizing electromagnetic components and systems on the 3DEXPERIENCE Platform",https://my.3dexperience.3ds.com/welcome/compass-world/3dexperience-works/simulation/electromagnetics/electromagnetics-engineer,Engineer / Analyst,"Electromagnetics Simulation",Generic,2
SIMULIA,Electromagnetics Engineer,"Provide high-performance 3D Electromagnetic Simulation for designing, analyzing and optimizing electromagnetic components and systems on 3DEXPERIENCE Cloud.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electromagnetics-engineer/?role=true,Engineer / Analyst,"Electromagnetics Simulation",Generic,2
SIMULIA,Electromechanical Analysis Engineer,"Provide rapid and accurate electromagnetic simulation for designing, analyzing and optimizing low frequency electromagnetic components and…",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/electromechanical-analysis-engineer/?role=true,Engineer / Analyst,"Electromechanical (EM) Analysis",Generic,3
ENOVIA,Engineering Data Exchange Manager,"Reduce Engineering data exchanges cycle time and streamline the collaboration throughout the value network",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/engineering-data-exchange-manager/?role=true,Librarian / Scribe,"Engineering Data Exchange",Generic,2
CATIA,Engineering Expert for Education,"An ideal solution for teaching modern development practices in industries and also for teaching industrial design and styling",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/engineering-expert-for-education/?role=true,Designer / Artisan,"Education (Engineering & Styling)",Education,1
DELMIA,Equipment & Layout Engineer,"Design & validate tooling, machines, and layouts to build the Virtual Factory",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/equipment-and-layout-engineer/?role=true,Craftsman / Maker,"Factory Equipment & Tooling",Generic,2
DELMIA,Ergonomic Workplace Designer,"Safe & Efficient Workplace",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/ergonomic-workplace-designer/?role=true,Craftsman / Maker,"Ergonomics & Workplace Design",Generic,2
DELMIA,Ergonomics Specialist,"Human-Centered Product and Workplace Design with Virtual Ergonomics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/ergonomics-specialist/?role=true,Craftsman / Maker,"Advanced Ergonomics",Generic,3
DELMIA,Ergonomist,"Create Virtual Manikins with specific anthropometry and biomechanics attributes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/ergonomist/?role=true,Craftsman / Maker,"Human Modeling & Ergonomics",Generic,3
ENOVIA,External System Data User,"Engineering Adapter for X-PDM enables bi-directional data exchange between the 3DEXPERIENCE platform and a non-DS PDM system",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/external-system-data-user/?role=true,Librarian / Scribe,"X-PDM Data Adapter",Generic,2
CATIA,FMU Export,"Generate Functional Mock-up Units (FMUs) from the 3DEXPERIENCE Platform in order to integrate & simulate the model on other co-simulation platforms",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fmu-export/?role=true,Librarian / Scribe,"Functional Mock-up Export",Generic,2
DELMIA,Fabrication Riveting System Programmer for Aerospace,"Create, simulate, and validate complex NC drilling and riveting programs for aerospace industry.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fabrication-riveting-system-programmer-for-aerospace/?role=true,Craftsman / Maker,"NC Drilling & Riveting (Aerospace)","Aerospace",3
DELMIA,Fabrication Robot Programmer,"Define, validate and program robot arc welding and sealant deposition systems offline in the Virtual Factory",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fabrication-robot-programmer/?role=true,Craftsman / Maker,"Robot Welding & Sealant",Generic,2
DELMIA,Fabrication Robot Workcell Programmer for Industrial Equipment,"Program, simulate, and validate Robotic fabrication systems in a 3D Virtual Factory context",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fabrication-robot-workcell-programmer-for-industrial-equipment/?role=true,Craftsman / Maker,"Robotic Fabrication (Industrial Equip)","Industrial Equipment",3
DELMIA,Factory Layout Designer,"Reduce capital expenditures and accelerate production ramp-up by building, evaluating and optimizing the factory layout",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/factory-layout-designer/?role=true,Craftsman / Maker,"Factory Layout",Generic,2
DELMIA,Factory Simulation Engineer,"Simulate material flow and resource utilization in a Virtual Factory context",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/factory-simulation-engineer/?role=true,Engineer / Analyst,"Factory Flow Simulation",Generic,2
DELMIA,Fastener Process Engineer,"Create and validate the assembly process plans with fasteners",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fastener-process-engineer/?role=true,Craftsman / Maker,"Process Engineering (Fasteners)",Generic,2
NETVIBES,Field Quality Analyst,"Smart guidance empowering after-sales organizations on reactive/preventive maintenance activities aiming at fostering investigation & reducing resolution times.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/field-quality-analyst/?role=true,Strategist / Guild Master,"After-Sales & Quality Data",Generic,2
CATIA,Flow Driven Generative Designer,"Improve the efficiency of internal fluid systems by generating shapes that respect performance KPI targets, via a streamlined & intuitive workflow experience",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/flow-driven-generative-designer/?role=true,Engineer / Analyst,"Generative Fluid Design",Generic,3
CATIA,Fluid 3D Systems Designer,"Improve piping, tubing and HVAC systems quality, shorten design time and reduce material costs by optimizing the physical design of complex fluid systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fluid-3d-systems-designer/?role=true,Designer / Artisan,"Fluid Systems (3D)",Generic,2
SIMULIA,Fluid Dynamics Engineer,"Perform fluid flow and heat transfer simulations, leading to better quality designs while avoiding manufacturing issues",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/fluid-dynamics-engineer/?role=true,Engineer / Analyst,"CFD (Fluid Dynamics)",Generic,2
BIOVIA,Food Development Scientist,"Accelerate formulation design and development for improved speed to market by leveraging virtual testing and virtual advisors",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/food-development-scientist/?role=true,Alchemist / Scholar,"Food Formulation",ConsumerGoods,2
BIOVIA,Formulation Compliance Assistant,"Design compliant formulations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/formulation-compliance-assistant/?role=true,Alchemist / Scholar,"Formulation Compliance",Generic,2
BIOVIA,Formulation Designer,"Puts the Formulator in focus, streamlining the work of creating, updating, and managing formulations",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/formulation-designer/?role=true,Alchemist / Scholar,"Formulation Development",Generic,2
BIOVIA,Formulation Scientist,"Conduct Formulation Design Studies in order to evolve formulations to respond to market need and opportunity",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/formulation-scientist/?role=true,Alchemist / Scholar,"Formulation R&D",Generic,2
CATIA,Frame Structure Designer,"Optimize development cost for structural assemblies by easy evaluation of alternative “What If” scenarios and manage transition from basic to detail design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/frame-structure-designer/?role=true,Designer / Artisan,"Structural Frame Design",Generic,2
CATIA,Function Driven Generative Designer,"Increase & parallelize weight reduction trade-off studies of generated design alternatives with high accurate shapes respecting structural & thermal KPI targets",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/function-driven-generative-designer/?role=true,Engineer / Analyst,"Generative Design (Structural)",Generic,3
BIOVIA,Generative Therapeutics Design for one project,"Utilize artificial intelligence (AI) techniques to optimize target, anti-target, synthesizability, metabolic and toxicity profiles for molecules",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/generative-therapeutics-design-for-one-project/?role=true,Alchemist / Scholar,"AI-Driven Drug Discovery","Life Sciences",3
GEOVIA,Geology Modeler,"Accelerate the creation of 3D geological models of the subsurface environment with the ability to rapidly test multiple hypotheses.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/geology-modeler/?role=true,Urbanist / Cartographer,"Geological Modeling","Mining",3
GEOVIA,Geoscience Referential Manager,"Define & manage the geoscience data referential from geoscientists, consultants and contractors.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/geoscience-referential-manager/?role=true,Urbanist / Cartographer,"Geoscience Data Mgmt","Mining",3
CATIA,Human Experience Designer,"All 3DXEXPERIENCE users can access to virtual Human to better create, engineer, simulate and validate products, environments and experiences",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/human-experience-designer/?role=true,Designer / Artisan,"Human Modeling Integration",Generic,2
CATIA,Human Experience Specialist,"Evaluate Human Postures and User Experience for Comfort and Safety studies at the early stage of Conceptual Design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/human-experience-specialist/?role=true,Engineer / Analyst,"Human Factors Analysis",Generic,3
CATIA,Hydroformed Airframe Designer,"With respect of manufacturing rules, accelerate the Hydroformed Sheetmetal part design in context of an Airframe assembly including model based definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/hydroformed-airframe-designer/?role=true,Designer / Artisan,"Sheetmetal (Aerospace)",Aerospace,3
CATIA,Hydroformed Body & Chassis Designer,"With respect of manufacturing rules, accelerate the Hydroformed Sheetmetal part design in context of a body and chassis model based definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/hydroformed-body-and-chassis-designer/?role=true,Designer / Artisan,"Sheetmetal (Automotive)","Transportation & Mobility",3
ENOVIA,IP Controlled Access,"Allow an IP User to view IP Protected data, and protect it from all other users that do not have access. IP Users may also request IP Protection Exceptions.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/ip-controlled-access/?role=true,Librarian / Scribe,"IP Security (Controlled Access)",Generic,2
